text,sentiment
I support Candidate A,Positive
The government has done a great job,Positive
Excellent development in our city,Positive
I will vote for this party,Positive
Amazing election campaign,Positive
Worst government ever,Negative
The promises were fake,Negative
Very disappointed with the leaders,Negative
Corruption has increased,Negative
Terrible policies,Negative
Election will be held next month,Neutral
Voting starts tomorrow,Neutral
The results will be announced soon,Neutral
Many people attended the rally,Neutral
Political debate happened yesterday,Neutral
